,Gr Liv Area,Total Bsmt SF,Garage Cars,Garage Area,Year Built,Year Remod/Add,TotRms AbvGrd,Mas Vnr Area,Fireplaces,Lot Frontage,Lot Area,porch_deck_sqft,all_baths_count,Neighborhood,MS Zoning,Bldg Type,Mas Vnr Type,House Style,Foundation,Sale Type,Overall Qual,Overall Cond,Exter Qual,Bsmt Qual,Heating QC,Kitchen Qual,Functional,Electrical,Garage Qual,SalePrice
320,1114,1114.0,2.0,451.0,1961,1961,5,0.0,0,90.0,9900,164,2.0,NAmes,RL,1Fam,None,1Story,CBlock,COD,5,5,TA,TA,TA,TA,Typ,SBrkr,TA,140000
321,1560,1560.0,2.0,573.0,2003,2003,7,0.0,0,129.0,9196,250,2.0,Mitchel,RL,1Fam,None,1Story,PConc,WD ,7,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,201000
322,1714,980.0,2.0,496.0,1988,1988,7,42.0,1,80.0,10421,450,3.0,NWAmes,RL,1Fam,BrkFace,2Story,CBlock,WD ,7,5,TA,Gd,TA,TA,Typ,SBrkr,TA,196500
323,1193,1153.0,2.0,501.0,1972,1972,6,144.0,0,79.0,13110,293,3.0,NWAmes,RL,2fmCon,BrkFace,1Story,CBlock,WD ,5,6,TA,Gd,Ex,TA,Typ,SBrkr,TA,146500
324,1414,707.0,2.0,403.0,2004,2004,6,0.0,1,74.0,9056,135,3.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,8,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,178000
325,1534,1524.0,2.0,484.0,2006,2006,7,248.0,1,76.0,10612,214,2.0,Somerst,RL,1Fam,BrkFace,1Story,PConc,WD ,8,5,Gd,Gd,Gd,Gd,Typ,SBrkr,TA,215000
326,1409,1409.0,2.0,576.0,2002,2002,4,0.0,1,44.0,12864,289,3.0,Mitchel,RL,1Fam,None,1Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,245000
327,1278,854.0,1.0,240.0,1954,1954,6,0.0,0,60.0,7200,0,1.0,NAmes,RL,1Fam,None,1.5Fin,CBlock,WD ,6,5,TA,TA,Fa,TA,Typ,FuseA,TA,127500
328,1828,1822.0,3.0,774.0,2007,2007,9,452.0,1,90.0,11694,368,2.0,NridgHt,RL,1Fam,BrkFace,1Story,PConc,New,9,5,Ex,Ex,Ex,Gd,Typ,SBrkr,TA,314813
329,1604,926.0,2.0,472.0,1998,1998,7,0.0,0,59.0,9535,182,3.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Ex,TA,Typ,SBrkr,TA,195500
330,2084,2078.0,3.0,1220.0,2007,2008,7,816.0,1,114.0,14803,233,3.0,NridgHt,RL,1Fam,BrkFace,1Story,PConc,New,10,5,Ex,Ex,Ex,Ex,Typ,SBrkr,TA,385000
331,1364,1179.0,1.0,331.0,1957,1957,6,0.0,1,70.0,8400,60,2.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,5,TA,Fa,Gd,TA,Typ,SBrkr,TA,132000
332,796,796.0,0.0,0.0,1922,1950,5,0.0,0,40.0,3636,100,1.0,IDOTRR,RM,1Fam,None,1Story,BrkTil,WD ,4,4,TA,TA,Fa,TA,Typ,SBrkr,No Garage,55000
333,984,984.0,1.0,310.0,1965,1965,5,0.0,0,75.24528301886792,9308,0,1.0,Sawyer,RL,1Fam,None,1Story,CBlock,WD ,5,5,TA,TA,TA,TA,Typ,SBrkr,TA,126000
334,1287,957.0,2.0,541.0,1977,1977,5,0.0,2,72.0,9360,461,3.0,Mitchel,RL,1Fam,None,SFoyer,CBlock,WD ,6,7,TA,Gd,TA,TA,Typ,SBrkr,TA,173000
335,932,932.0,1.0,306.0,1950,1950,4,0.0,1,57.0,8280,214,1.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,6,5,TA,TA,Ex,Gd,Typ,FuseA,TA,124000
336,864,864.0,2.0,400.0,1951,1951,4,0.0,0,140.0,19138,0,1.0,Gilbert,RL,1Fam,None,1Story,CBlock,WD ,4,5,TA,TA,Ex,TA,Typ,SBrkr,TA,141000
337,1364,1364.0,2.0,484.0,2005,2005,6,240.0,1,43.0,7052,228,3.0,NridgHt,RL,TwnhsE,Stone,1Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,185850
338,907,907.0,1.0,343.0,1978,1978,5,76.0,0,71.15384615384616,16269,72,1.0,CollgCr,RL,1Fam,BrkFace,1Story,BrkTil,WD ,5,5,TA,Gd,TA,TA,Typ,SBrkr,TA,140000
339,988,876.0,1.0,276.0,1950,1950,6,0.0,0,60.0,7200,80,1.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,119000
340,1717,901.0,1.0,410.0,1940,1950,7,0.0,1,80.0,12400,113,2.0,Crawfor,RL,1Fam,None,1.5Fin,CBlock,WD ,5,6,TA,Gd,TA,TA,Typ,SBrkr,TA,194000
341,1494,1494.0,3.0,840.0,2006,2007,7,306.0,1,91.0,10652,193,2.0,CollgCr,RL,1Fam,Stone,1Story,PConc,New,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,279500
342,2022,1160.0,2.0,505.0,1977,1977,8,299.0,1,83.0,10005,405,3.0,ClearCr,RL,1Fam,BrkFace,2Story,CBlock,WD ,7,5,TA,Gd,Ex,TA,Typ,SBrkr,TA,192000
343,936,936.0,1.0,288.0,1969,1969,4,72.0,0,68.0,10295,16,1.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,COD,4,6,TA,Gd,TA,TA,Typ,SBrkr,TA,111900
344,1041,1041.0,1.0,270.0,1959,1959,6,132.0,0,80.0,9600,312,2.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,5,6,TA,TA,Ex,TA,Typ,SBrkr,TA,124500
345,1335,1335.0,2.0,575.0,2006,2007,6,0.0,0,75.0,9000,210,2.0,Somerst,FV,1Fam,None,1Story,PConc,New,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,210400
346,1515,789.0,2.0,393.0,2004,2004,8,0.0,1,80.0,9024,75,3.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,179000
347,1425,1425.0,2.0,576.0,1964,1964,7,272.0,1,100.0,10175,407,2.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,6,5,TA,TA,Gd,TA,Typ,SBrkr,TA,180500
348,1969,1272.0,2.0,400.0,1938,1958,9,0.0,1,60.0,6876,34,2.0,IDOTRR,RM,1Fam,None,1.5Fin,BrkTil,COD,6,6,TA,TA,TA,TA,Min1,SBrkr,TA,141000
349,987,483.0,1.0,264.0,1971,1971,4,232.0,0,21.0,1680,0,2.0,BrDale,RM,Twnhs,BrkFace,2Story,CBlock,COD,6,5,TA,TA,TA,TA,Typ,SBrkr,TA,85400
350,864,864.0,1.0,280.0,1968,1968,4,0.0,0,65.0,7832,226,2.0,Sawyer,RL,1Fam,None,1Story,CBlock,WD ,5,5,TA,TA,Ex,TA,Typ,SBrkr,TA,137250
351,1818,1040.0,1.0,240.0,1931,1950,7,600.0,2,61.94230769230769,7758,184,2.0,IDOTRR,RM,1Fam,BrkFace,1.5Fin,PConc,WD ,7,4,TA,TA,Ex,TA,Typ,FuseF,TA,169500
352,1456,855.0,2.0,440.0,1975,1975,6,0.0,1,24.0,2280,173,3.0,NPkVill,RL,Twnhs,None,2Story,CBlock,WD ,6,6,TA,TA,TA,Gd,Typ,SBrkr,TA,149900
353,1790,732.0,2.0,484.0,1972,1972,8,288.0,1,80.0,10400,295,4.0,NWAmes,RL,1Fam,None,2Story,CBlock,WD ,6,5,TA,TA,Gd,TA,Min2,SBrkr,TA,165150
355,1337,832.0,1.0,263.0,1956,1956,5,0.0,0,60.0,8382,0,1.0,NAmes,RL,1Fam,None,1.5Fin,CBlock,WD ,4,5,TA,TA,TA,TA,Typ,FuseA,TA,108000
356,1112,631.0,2.0,480.0,1951,1951,5,0.0,0,67.0,13070,255,1.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,5,TA,TA,TA,TA,Typ,FuseA,TA,126000
357,1820,910.0,3.0,816.0,1996,1997,8,0.0,1,77.3061224489796,11050,350,3.0,Mitchel,RL,1Fam,None,2Story,PConc,WD ,7,5,TA,Gd,Ex,Gd,Typ,SBrkr,TA,213000
358,1290,1282.0,2.0,662.0,2007,2007,6,0.0,1,64.0,6762,168,3.0,CollgCr,RL,1Fam,None,1Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,200000
359,1701,1390.0,2.0,611.0,1975,1981,6,0.0,2,75.24528301886792,16647,0,3.0,Sawyer,RL,1Fam,None,SFoyer,CBlock,WD ,5,5,TA,Gd,TA,TA,Min2,SBrkr,TA,171000
360,1656,624.0,1.0,288.0,1967,1967,7,0.0,1,75.0,6000,280,2.0,IDOTRR,RM,1Fam,None,SLvl,CBlock,WD ,5,5,Fa,Gd,Ex,TA,Mod,SBrkr,TA,126000
361,1301,1293.0,2.0,572.0,2006,2006,5,0.0,1,60.0,7200,337,3.0,Somerst,FV,1Fam,None,1Story,PConc,New,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,187750
362,1077,1007.0,1.0,210.0,1922,1950,6,0.0,1,60.0,9786,148,1.0,IDOTRR,RM,1Fam,None,1Story,BrkTil,WD ,3,4,TA,TA,Fa,TA,Typ,SBrkr,TA,91000
363,887,864.0,1.0,288.0,1984,1984,5,0.0,0,62.0,10447,140,2.0,Mitchel,RL,1Fam,None,1Story,CBlock,WD ,5,6,TA,TA,TA,TA,Typ,SBrkr,TA,124500
364,1052,1052.0,1.0,288.0,1968,1968,5,168.0,0,70.0,8400,356,3.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,5,5,TA,TA,Gd,TA,Typ,SBrkr,TA,138500
365,1141,1141.0,2.0,484.0,2006,2006,6,0.0,0,63.0,7500,182,3.0,SawyerW,RL,1Fam,None,1Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,152000
366,2452,1028.0,2.0,683.0,1998,1999,9,0.0,1,66.0,16226,258,3.0,CollgCr,RL,1Fam,None,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,267000
367,1306,1306.0,2.0,624.0,2005,2005,5,135.0,1,34.0,5381,233,3.0,NridgHt,RL,Twnhs,Stone,1Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,196000
368,1537,1518.0,3.0,788.0,2006,2007,8,258.0,0,74.0,11563,26,3.0,Timber,RL,1Fam,Stone,1Story,PConc,WD ,8,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,294000
369,1641,1001.0,2.0,490.0,1972,1972,5,0.0,1,70.0,10759,92,2.0,Sawyer,RL,1Fam,None,1.5Fin,CBlock,WD ,5,4,TA,Gd,TA,TA,Typ,SBrkr,TA,140000
370,1558,864.0,2.0,440.0,1975,2001,5,0.0,0,40.0,14330,606,3.0,CollgCr,RL,1Fam,None,1Story,CBlock,WD ,5,6,TA,TA,TA,TA,Min2,SBrkr,TA,163000
371,1269,1256.0,2.0,430.0,2004,2005,6,16.0,1,43.0,3182,310,2.0,Blmngtn,RL,TwnhsE,BrkFace,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,192000
372,2640,932.0,2.0,515.0,1967,1997,8,256.0,1,80.0,10400,288,3.0,NWAmes,RL,1Fam,BrkFace,2Story,PConc,WD ,6,7,TA,TA,Gd,Gd,Typ,SBrkr,TA,256900
373,1092,546.0,0.0,0.0,1970,1970,5,189.0,0,21.0,1495,64,2.0,MeadowV,RM,TwnhsE,BrkFace,2Story,CBlock,WD ,4,6,TA,TA,Ex,TA,Typ,SBrkr,No Garage,93900
374,2840,1420.0,4.0,1314.0,1978,1978,8,168.0,2,80.57142857142857,12511,224,4.0,NWAmes,RL,1Fam,BrkFace,2Story,PConc,WD ,7,7,Gd,Gd,Ex,Gd,Min2,SBrkr,TA,292500
375,960,960.0,2.0,576.0,1970,1970,6,160.0,0,60.0,9873,288,2.0,BrkSide,RL,2fmCon,BrkFace,1Story,CBlock,WD ,4,5,TA,TA,TA,TA,Typ,SBrkr,TA,129000
376,2500,1168.0,3.0,683.0,2005,2005,9,130.0,1,101.0,13543,224,4.0,StoneBr,RL,1Fam,Stone,2Story,PConc,WD ,8,5,Gd,Ex,Ex,Ex,Typ,SBrkr,TA,355000
377,1223,600.0,2.0,480.0,2005,2005,4,0.0,0,24.0,2544,166,3.0,Somerst,FV,Twnhs,None,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,147400
378,1283,931.0,2.0,506.0,1962,1980,6,0.0,0,70.0,7763,0,2.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,140000
379,1363,1385.0,2.0,439.0,1954,2005,5,0.0,2,73.0,39104,81,2.0,ClearCr,RL,1Fam,None,1Story,CBlock,WD ,7,7,TA,Gd,Ex,TA,Mod,SBrkr,TA,241500
380,836,836.0,1.0,308.0,1975,1975,4,0.0,0,24.0,2280,30,1.0,NPkVill,RL,Twnhs,None,1Story,CBlock,WD ,7,6,TA,Gd,Ex,TA,Typ,SBrkr,TA,120000
381,1949,1050.0,2.0,574.0,1993,1994,8,246.0,1,80.0,9938,246,4.0,SawyerW,RL,1Fam,BrkFace,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,236000
382,1337,1405.0,2.0,522.0,1997,1998,5,0.0,1,26.0,10943,68,3.0,NAmes,RH,TwnhsE,None,1Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,177000
383,1670,1670.0,3.0,690.0,2006,2006,7,27.0,1,50.0,14859,204,2.0,Gilbert,RL,1Fam,BrkFace,1Story,PConc,New,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,240000
384,1721,1721.0,2.0,554.0,2005,2005,7,210.0,0,71.0,9254,195,3.0,NridgHt,RL,1Fam,BrkFace,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,232698
385,1590,1570.0,3.0,754.0,2005,2006,6,198.0,0,78.0,11645,256,4.0,CollgCr,RL,1Fam,BrkFace,1Story,PConc,New,8,5,Gd,Ex,Ex,Ex,Typ,SBrkr,TA,294900
386,968,0.0,1.0,331.0,1956,1956,5,1.0,0,52.0,8626,0,1.0,OldTown,RM,1Fam,None,1Story,CBlock,WD ,4,6,TA,None,Gd,TA,Typ,SBrkr,Fa,104500
387,848,848.0,2.0,420.0,2003,2003,3,170.0,0,37.0,4435,140,2.0,CollgCr,RM,TwnhsE,BrkFace,1Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,136500
388,952,756.0,1.0,330.0,1896,1950,5,0.0,0,66.0,8712,265,1.0,IDOTRR,C (all),1Fam,None,1Story,CBlock,WD ,4,7,Fa,TA,Gd,TA,Typ,SBrkr,TA,50138
389,1138,1138.0,2.0,480.0,1960,1960,6,54.0,1,88.0,15312,140,2.0,Sawyer,RL,1Fam,BrkFace,SLvl,CBlock,COD,6,5,TA,TA,Ex,TA,Typ,SBrkr,TA,148000
390,1689,1689.0,2.0,433.0,2006,2007,7,0.0,0,67.0,8368,139,2.0,Timber,RL,1Fam,None,1Story,PConc,New,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,231713
391,2614,1522.0,2.0,624.0,1974,1997,9,0.0,1,90.0,10800,281,3.0,NWAmes,RL,1Fam,None,2Story,CBlock,WD ,6,7,TA,TA,TA,TA,Typ,SBrkr,TA,240000
392,1204,1191.0,2.0,461.0,1987,1987,5,0.0,0,30.0,3701,190,2.0,StoneBr,RL,TwnhsE,None,1Story,CBlock,WD ,8,5,TA,Gd,TA,TA,Typ,SBrkr,TA,130000
393,1436,585.0,1.0,228.0,1921,1950,7,0.0,1,53.0,6720,184,1.0,Crawfor,RL,1Fam,None,2Story,BrkTil,CWD,6,7,TA,TA,TA,TA,Typ,SBrkr,TA,141500
394,1310,1310.0,2.0,400.0,2005,2005,6,0.0,1,65.0,8767,0,2.0,CollgCr,RL,1Fam,None,1Story,PConc,New,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,164990
395,1365,765.0,2.0,440.0,1971,1971,6,376.0,0,24.0,1920,276,3.0,BrDale,RM,TwnhsE,BrkFace,2Story,CBlock,WD ,5,5,TA,TA,Ex,TA,Min1,SBrkr,TA,122500
396,1393,816.0,1.0,300.0,1955,1955,8,0.0,0,59.0,16466,386,2.0,Edwards,RL,1Fam,None,1.5Fin,PConc,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,135500
397,2683,930.0,2.0,473.0,1990,1991,9,304.0,2,88.73333333333333,9205,684,4.0,NoRidge,RL,1Fam,BrkFace,2Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,290000
398,1642,903.0,2.0,392.0,1993,1994,7,0.0,1,73.04838709677419,7655,374,3.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Gd,TA,Typ,SBrkr,TA,168000
399,1132,608.0,1.0,240.0,1939,1950,5,0.0,0,50.0,6000,128,2.0,BrkSide,RM,1Fam,None,1.5Fin,BrkTil,WD ,6,7,TA,TA,TA,TA,Typ,SBrkr,TA,134000
400,1078,1078.0,2.0,500.0,1971,2008,6,0.0,1,74.88947368421053,12537,0,3.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,6,TA,TA,Ex,TA,Typ,SBrkr,TA,149900
401,1936,1406.0,2.0,504.0,2000,2000,7,40.0,1,106.0,11194,312,3.0,Gilbert,RL,1Fam,BrkFace,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,230500
402,1143,1143.0,1.0,308.0,1959,1959,6,150.0,0,74.88947368421053,8050,0,2.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,5,5,TA,TA,TA,TA,Typ,SBrkr,TA,136000
403,2418,1311.0,3.0,983.0,1993,1994,9,651.0,1,96.0,10542,620,4.0,NoRidge,RL,1Fam,BrkFace,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,341000
404,1902,0.0,2.0,539.0,1978,1978,8,0.0,0,68.0,8930,0,2.0,Sawyer,RM,Duplex,None,1.5Fin,Slab,WD ,6,5,TA,None,TA,TA,Typ,SBrkr,TA,112000
405,1652,1494.0,2.0,499.0,2000,2000,6,0.0,0,41.0,5330,144,3.0,StoneBr,RL,TwnhsE,None,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Ex,Typ,SBrkr,TA,251000
406,1452,691.0,2.0,506.0,1999,1999,6,218.0,0,35.0,3768,34,4.0,Somerst,FV,TwnhsE,BrkFace,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,156000
407,1960,860.0,2.0,440.0,2002,2002,8,0.0,2,73.04838709677419,7851,336,4.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,216500
408,1374,384.0,2.0,400.0,2004,2004,7,0.0,1,67.0,13300,100,4.0,Gilbert,RL,1Fam,None,SLvl,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,184500
409,1285,1243.0,2.0,473.0,1977,1977,6,0.0,1,74.0,9620,401,3.0,Mitchel,RL,1Fam,None,SLvl,CBlock,WD ,6,7,TA,TA,TA,Gd,Typ,SBrkr,TA,190000
410,1664,953.0,2.0,460.0,2000,2000,7,0.0,1,73.04838709677419,8121,140,3.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Ex,TA,Typ,SBrkr,TA,172400
411,1224,816.0,1.0,280.0,1948,2004,5,0.0,0,60.0,8064,414,2.0,NAmes,RL,1Fam,None,1.5Fin,CBlock,WD ,6,8,TA,TA,TA,TA,Typ,SBrkr,TA,132000
412,1474,384.0,2.0,400.0,1995,1996,7,22.0,1,73.04838709677419,8530,192,3.0,Gilbert,RL,1Fam,BrkFace,SLvl,PConc,WD ,7,5,TA,Gd,Gd,TA,Typ,SBrkr,TA,168500
413,2454,819.0,2.0,576.0,1879,1987,8,0.0,1,75.0,13500,298,2.0,OldTown,RM,1Fam,None,2.5Unf,PConc,WD ,7,8,TA,TA,TA,TA,Typ,FuseA,TA,185000
414,2520,1338.0,3.0,796.0,1993,1993,10,0.0,1,88.73333333333333,14541,264,4.0,NoRidge,RL,1Fam,None,2Story,PConc,WD ,8,7,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,310000
415,1624,1624.0,3.0,757.0,1994,1995,5,0.0,1,89.0,12461,306,3.0,NoRidge,RL,1Fam,None,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,262000
416,1040,1040.0,1.0,260.0,1962,2010,6,0.0,0,75.24528301886792,6897,104,3.0,Sawyer,RL,1Fam,None,1Story,CBlock,WD ,5,8,TA,TA,Ex,TA,Typ,SBrkr,TA,127000
417,1923,750.0,2.0,564.0,1992,1992,8,0.0,1,107.0,10186,279,4.0,NoRidge,RL,1Fam,None,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,190000
418,1315,808.0,2.0,436.0,1958,1958,5,0.0,0,52.0,4330,0,3.0,IDOTRR,RM,2fmCon,None,1.5Fin,BrkTil,COD,4,6,TA,Fa,TA,TA,Typ,SBrkr,TA,99500
419,1762,826.0,2.0,591.0,2002,2002,6,199.0,0,71.15384615384616,9930,374,3.0,CollgCr,RL,1Fam,BrkFace,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,222000
420,1158,1158.0,2.0,576.0,2004,2004,5,0.0,0,63.0,13072,50,3.0,SawyerW,RL,1Fam,None,1Story,PConc,New,6,5,TA,Gd,Ex,Gd,Typ,SBrkr,TA,158000
421,816,816.0,0.0,0.0,1990,1990,5,104.0,0,81.0,11841,32,2.0,Edwards,RL,Duplex,BrkFace,SFoyer,CBlock,WD ,6,5,TA,Gd,TA,TA,Typ,SBrkr,No Garage,118500
422,1494,1479.0,2.0,576.0,1997,1997,6,0.0,0,79.0,9236,195,3.0,CollgCr,RL,1Fam,None,1Story,PConc,WD ,6,5,TA,Gd,Ex,Gd,Typ,SBrkr,TA,217000
423,1768,866.0,2.0,603.0,2005,2005,7,0.0,0,75.0,9803,108,3.0,Somerst,FV,1Fam,None,2Story,PConc,WD ,7,5,Gd,Gd,Gd,Gd,Typ,SBrkr,TA,226700
424,2340,1236.0,3.0,787.0,1996,1996,9,402.0,1,80.57142857142857,14311,590,4.0,NWAmes,RL,1Fam,BrkFace,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,306000
425,1338,1338.0,2.0,598.0,2007,2007,6,0.0,0,72.0,8640,141,2.0,Somerst,FV,1Fam,None,1Story,PConc,New,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,208900
426,1055,1057.0,2.0,440.0,1975,1975,4,0.0,1,24.0,2280,27,3.0,NPkVill,RL,Twnhs,None,1Story,CBlock,WD ,7,5,TA,Gd,TA,TA,Typ,SBrkr,TA,123000
427,1224,612.0,2.0,528.0,2009,2009,4,76.0,0,30.0,3000,234,3.0,Somerst,FV,TwnhsE,Stone,2Story,PConc,New,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,173733
428,1662,1652.0,3.0,711.0,2006,2007,8,0.0,1,85.0,10625,288,3.0,Somerst,FV,1Fam,None,1Story,PConc,WD ,7,5,Gd,Gd,Ex,Ex,Typ,SBrkr,TA,291000
429,1034,982.0,2.0,598.0,1989,1989,4,0.0,1,35.0,3907,177,2.0,Blueste,RM,TwnhsE,None,1Story,CBlock,WD ,8,6,Gd,Gd,Gd,Gd,Typ,SBrkr,TA,185000
430,1336,1288.0,2.0,502.0,1969,1969,6,128.0,1,80.0,9600,323,3.0,NWAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,5,5,TA,Gd,TA,TA,Typ,SBrkr,TA,163000
431,2076,2076.0,3.0,850.0,2006,2006,7,0.0,1,107.0,13891,445,4.0,NridgHt,RL,1Fam,None,1Story,PConc,New,10,5,Ex,Ex,Ex,Ex,Typ,SBrkr,TA,465000
432,2202,1105.0,2.0,517.0,1992,1993,9,309.0,1,88.0,11762,209,4.0,NoRidge,RL,1Fam,BrkFace,2Story,PConc,WD ,8,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,263000
433,2353,845.0,2.0,484.0,1980,1980,10,278.0,1,94.0,13005,483,4.0,NWAmes,RL,1Fam,BrkFace,2Story,CBlock,WD ,7,7,Gd,Gd,TA,Ex,Typ,SBrkr,TA,260000
434,1352,676.0,2.0,720.0,1939,2006,7,0.0,0,60.0,10800,315,3.0,OldTown,RL,1Fam,None,2Story,BrkTil,WD ,5,7,TA,TA,Ex,Gd,Typ,SBrkr,TA,149000
435,1778,1573.0,2.0,495.0,2005,2006,5,473.0,1,41.0,5748,329,4.0,Crawfor,RM,TwnhsE,Stone,1Story,PConc,New,8,5,Gd,Ex,Ex,Ex,Typ,SBrkr,TA,375000
436,1355,684.0,0.0,0.0,1914,2006,7,0.0,0,60.0,6882,251,2.0,IDOTRR,RM,1Fam,None,2Story,PConc,WD ,6,7,TA,TA,TA,Gd,Typ,SBrkr,No Garage,127000
437,2122,2108.0,3.0,938.0,2007,2007,7,0.0,1,110.0,14333,272,4.0,NridgHt,RL,1Fam,None,1Story,PConc,New,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,345474
438,1148,980.0,1.0,308.0,1952,1952,6,0.0,0,57.0,6420,0,2.0,Edwards,RL,1Fam,None,1Story,PConc,WD ,5,7,TA,Ex,Fa,TA,Typ,FuseA,TA,123500
439,2140,2140.0,3.0,894.0,2006,2007,8,0.0,0,93.0,10481,168,3.0,CollgCr,RL,1Fam,None,1Story,PConc,New,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,360000
440,1075,981.0,2.0,440.0,1963,1963,6,0.0,0,75.24528301886792,11235,128,2.0,Sawyer,RL,1Fam,None,SFoyer,CBlock,WD ,5,6,TA,Gd,TA,Gd,Typ,SBrkr,TA,148000
441,816,816.0,1.0,308.0,1957,1957,5,0.0,0,73.0,7100,0,2.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,7,TA,TA,TA,TA,Typ,FuseA,TA,129900
442,1302,630.0,1.0,280.0,1971,1971,6,142.0,0,21.0,1680,0,3.0,BrDale,RM,Twnhs,BrkFace,2Story,CBlock,COD,5,5,TA,TA,TA,TA,Typ,SBrkr,TA,112000
443,1652,1652.0,3.0,928.0,1970,1970,8,0.0,0,77.3061224489796,11836,0,2.0,Mitchel,RL,Duplex,None,1Story,CBlock,WD ,5,5,TA,TA,TA,TA,Typ,SBrkr,TA,146500
444,1329,1329.0,2.0,441.0,1960,1960,5,128.0,2,74.88947368421053,12285,203,2.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,7,6,TA,TA,Gd,TA,Typ,SBrkr,TA,176000
445,1220,836.0,2.0,396.0,1951,1951,6,0.0,0,67.0,8877,0,1.0,Edwards,RL,1Fam,None,1Story,CBlock,COD,4,5,TA,Fa,TA,TA,Typ,FuseF,TA,102000
446,1644,1518.0,2.0,569.0,1989,1989,5,145.0,1,70.27118644067797,12800,476,4.0,SawyerW,RL,1Fam,BrkFace,SLvl,PConc,WD ,7,5,Gd,Gd,Gd,Gd,Typ,SBrkr,TA,275000
